Title,Price,Area,Location,type
BÁN SẠP- KIOS CHỢ PHƯỜNG 4 TRÀ VINH,Giá: 9 triệu / tháng,"Diện tích: 24 m
2","Đường Chu Văn An, Phường 4, Thành phố Trà Vinh, Trà Vinh",cho_thue_cua_hang
"CHO THUÊ SÀN TRUNG TÂM THƯƠNG MẠI MIPEC, 229 TÂY SƠN, QUẬN ĐỐNG ĐA, HÀ NỘI",Giá: 245 ngàn / m2  / tháng,"Diện tích: 500 m
2","Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
Cho Thuê Shophouse Thành Phố Giao Lưu 550m2 Giá 40 tr/tháng,Giá: 40 triệu / tháng,"Diện tích: 550 m
2","Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",cho_thue_cua_hang
"Cho thuê Shophouse Vinhomes Hàm Nghi-Hà Nội.Dt 100m,5 tầng.Thông sàn có thang máy.",Giá: 50 triệu / tháng,"Diện tích: 100 m
2","Đường Hàm Nghi, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",cho_thue_cua_hang
"Cho thuê 175m2 chân đế đường Hoàng Đạo Thúy, tiện kinh doanh nhiều mô hình.",Giá: 85 triệu / tháng,"Diện tích: 175 m
2","Đường Hoàng Đạo Thúy, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",cho_thue_cua_hang
"Cho thuê sàn trung tâm Thương Mại siêu cao cấp làm nhà hàng, buffe...",Giá: 100 triệu / tháng,"Diện tích: 3.200 m
2","Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",cho_thue_cua_hang
"Cho thuê chân đế vị trí đắc đia quận Hà Đông làm ngân hàng, nhà hàng, cafe, bánh ngọt, góc",Giá: 150 triệu / tháng,"Diện tích: 310 m
2","Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",cho_thue_cua_hang
"Chính chủ cho thuê shophouse lô góc dự án Vinhome gradenia, Hàm Nghi, vị trí đắc địa",Giá: 130 triệu / tháng,"Diện tích: 460 m
2","Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",cho_thue_cua_hang
"Thuê shophouse thương mại Mipec Rubik Xuân Thủy Cầu Giấy, liên hệ ngay, vị trí vip.",Giá: 100 triệu / tháng,"Diện tích: 200 m
2","Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
"Cho thuê các diện tích từ 127m2, tòa nhà mặt giảng võ làm nhiều mô hình cao cấp.",Giá: 90 triệu / tháng,"Diện tích: 127 m
2","Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",cho_thue_cua_hang
"Cho thuê mặt bằng shop tòa nhà Technopark Vin gia lâm, vị trí đắc địa, bàn giao ngay.",Giá: 75 triệu / tháng,"Diện tích: 90 m
2","Đường Đa Tốn, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",cho_thue_cua_hang
Cho thuê gần 1500m2 sàn thương mại view ngã tư đắc địa quận Cầu Giấy;.,Giá: 350 ngàn / m2  / tháng,"Diện tích: 1.500 m
2","Đường Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
"Cho thuê thương mại văn phòng dự án Sungrand Thụy Khuê, Giá ưu đãi",Giá: 100 triệu / tháng,"Diện tích: 500 m
2","Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",cho_thue_cua_hang
CHO THUÊ SHOP LÔ GÓC 220M2 KHU VỰC MỸ ĐÌNH SÔNG ĐÀ.,Giá: 250 triệu / tháng,"Diện tích: 220 m
2","Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",cho_thue_cua_hang
"Cho thuê shop chân đế đường Giảng Võ, tòa nhà cao cấp, vị trí đắc địa",Giá: 932 ngàn / m2  / tháng,"Diện tích: 280 m
2","Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",cho_thue_cua_hang
Cho Thuê Showroom Mặt Phố Trường Chinh: Lựa Chọn Tối Ưu Cho Doanh Nghiệp,Giá: 500 triệu / tháng,"Diện tích: 2.000 m
2","Đường Trường Chinh, Quận Thanh Xuân, Hà Nội",cho_thue_cua_hang
"Cho Thuê Nhà Mặt Đường Nguyễn Quốc Trị, Quận Cầu Giấy - Diện Tích 200m²",Giá: 140 triệu / tháng,"Diện tích: 700 m
2","Đường Nguyễn Quốc Trị, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
Cho Thuê Showroom Mới Xây Dựng Tại Đường Nguyễn Văn Linh - Long Biên,Giá: 320 triệu / tháng,"Diện tích: 500 m
2","Đường Nguyễn Văn Linh, Phường Gia Thụy, Quận Long Biên, Hà Nội",cho_thue_cua_hang
"Cho thuê hơn 700m2 view kính TMDV, sàn đẹp, hiếm.",Giá: 280 triệu / tháng,"Diện tích: 720 m
2","Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",cho_thue_cua_hang
"Cho thuê shop mặt phố Trung Kính, bàn giao ngay, vị trí đẹp.",Giá: 145 triệu / tháng,"Diện tích: 175 m
2","Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",cho_thue_cua_hang
"Cho thuê TTTM LinC - Park city Lê Trọng Tấn, Hà Đông, Kết hợp không gian xanh",Giá: 200 triệu / tháng,"Diện tích: 7.000 m
2","Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",cho_thue_cua_hang
